lexeme                         lineno                         tokenName                      valueIfNumber                  parentNodeSymbol               isLeafNode                     NodeSymbol                    
---                            38                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            38                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            38                             TK_SEM                         ---                            assignmentStmt                 Yes                           ---                           
---                            38                             ---                            ---                            otherStmts                     No                             stmt                          
---                            37                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            39                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            39                             ---                            ---                            assignmentStmt                 No                             singleOrRecId                 
---                            39                             TK_DOT                         ---                            oneExpansion                   Yes                           ---                           
---                            39                             ---                            ---                            option_single_constructed      No                             oneExpansion                  
---                            39                             TK_FIELDID                     ---                            oneExpansion                   Yes                           ---                           
---                            39                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            39                             ---                            ---                            moreExpansion                  Yes                           EPSILON                       
---                            39                             ---                            ---                            option_single_constructed      No                             moreExpansion                 
---                            39                             ---                            ---                            stmt                           No                             assignmentStmt                
---                            39                             TK_ASSIGNOP                    ---                            assignmentStmt                 Yes                           ---                           
---                            39                             TK_RNUM                        0.00                          var                            Yes                           ---                           
---                            39                             ---                            ---                            factor                         No                             var                           
---                            39                             ---                            ---                            term                           No                             factor                        
---                            39                             ---                            ---                            arithmeticExpression           No                             term                          
---                            39                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            39                             ---                            ---                            term                           No                             termPrime                     
---                            39                             ---                            ---                            assignmentStmt                 No                             arithmeticExpression          
---                            39                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            39                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            39                             TK_SEM                         ---                            assignmentStmt                 Yes                           ---                           
---                            39                             ---                            ---                            otherStmts                     No                             stmt                          
---                            38                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            40                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            40                             ---                            ---                            assignmentStmt                 No                             singleOrRecId                 
---                            40                             TK_DOT                         ---                            oneExpansion                   Yes                           ---                           
---                            40                             ---                            ---                            option_single_constructed      No                             oneExpansion                  
---                            40                             TK_FIELDID                     ---                            oneExpansion                   Yes                           ---                           
---                            40                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            40                             ---                            ---                            moreExpansion                  Yes                           EPSILON                       
---                            40                             ---                            ---                            option_single_constructed      No                             moreExpansion                 
---                            40                             ---                            ---                            stmt                           No                             assignmentStmt                
---                            40                             TK_ASSIGNOP                    ---                            assignmentStmt                 Yes                           ---                           
---                            40                             TK_RNUM                        0.00                          var                            Yes                           ---                           
---                            40                             ---                            ---                            factor                         No                             var                           
---                            40                             ---                            ---                            term                           No                             factor                        
---                            40                             ---                            ---                            arithmeticExpression           No                             term                          
---                            40                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            40                             ---                            ---                            term                           No                             termPrime                     
---                            40                             ---                            ---                            assignmentStmt                 No                             arithmeticExpression          
---                            40                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            40                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            40                             TK_SEM                         ---                            assignmentStmt                 Yes                           ---                           
---                            40                             ---                            ---                            otherStmts                     No                             stmt                          
---                            39                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            41                             TK_WHILE                       ---                            iterativeStmt                  Yes                           ---                           
---                            41                             ---                            ---                            stmt                           No                             iterativeStmt                 
---                            41                             TK_OP                          ---                            iterativeStmt                  Yes                           ---                           
---                            41                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            41                             ---                            ---                            var                            No                             singleOrRecId                 
---                            41                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            41                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            41                             ---                            ---                            booleanExpression              No                             var                           
---                            41                             ---                            ---                            iterativeStmt                  No                             booleanExpression             
---                            41                             TK_LT                          ---                            relationalOp                   Yes                           ---                           
---                            41                             ---                            ---                            booleanExpression              No                             relationalOp                  
